episode:0, score:7.814679680000003, epsilon:1.0, global step:178, avg_qmax:0.0002756271271689993, memory:178
episode:1, score:7.434649600000004, epsilon:1.0, global step:368, avg_qmax:0.00032936355101379665, memory:368
episode:2, score:6.576677760000001, epsilon:1.0, global step:535, avg_qmax:0.0005052165744525052, memory:535
episode:3, score:7.72672512, epsilon:1.0, global step:721, avg_qmax:0.0003521626998727081, memory:721
episode:4, score:6.3526425600000005, epsilon:1.0, global step:867, avg_qmax:0.00027539005033809, memory:867
episode:5, score:5.1196192000000025, epsilon:1.0, global step:985, avg_qmax:0.0002883516406624132, memory:985
episode:6, score:7.7151084800000005, epsilon:1.0, global step:1155, avg_qmax:0.000436915163663798, memory:1155
episode:7, score:28.324152319999996, epsilon:1.0, global step:1327, avg_qmax:0.0002821038579409211, memory:1327
episode:8, score:6.596592000000003, epsilon:1.0, global step:1467, avg_qmax:0.000302536758291743, memory:1467
episode:9, score:6.3559616000000005, epsilon:1.0, global step:1609, avg_qmax:0.00034686757832057247, memory:1609
episode:10, score:8.111733760000003, epsilon:1.0, global step:1799, avg_qmax:0.00037412431342282186, memory:1799
episode:11, score:26.77416064, epsilon:1.0, global step:1960, avg_qmax:0.00035829281115404445, memory:1960
episode:12, score:6.603230080000003, epsilon:1.0, global step:2109, avg_qmax:0.00024139055410507854, memory:2109
episode:13, score:8.13330752, epsilon:1.0, global step:2308, avg_qmax:0.00029548412804894297, memory:2308
episode:14, score:6.631441920000003, epsilon:1.0, global step:2461, avg_qmax:0.0003772722540542733, memory:2461
episode:15, score:8.045352960000002, epsilon:1.0, global step:2644, avg_qmax:0.0003439887997180941, memory:2644
episode:16, score:6.543487360000001, epsilon:1.0, global step:2782, avg_qmax:0.0003320544740521312, memory:2782
episode:17, score:6.596592000000001, epsilon:1.0, global step:2925, avg_qmax:0.00022914670112154486, memory:2925
episode:18, score:6.759224960000001, epsilon:1.0, global step:3077, avg_qmax:0.0003377920412085108, memory:3077
episode:19, score:6.03899328, epsilon:1.0, global step:3216, avg_qmax:0.00026714267675461675, memory:3216
episode:20, score:29.78950848000001, epsilon:1.0, global step:3447, avg_qmax:0.00031792523981438893, memory:3447
episode:21, score:7.502689920000002, epsilon:1.0, global step:3633, avg_qmax:0.00042940087855298457, memory:3633
episode:22, score:6.772501120000002, epsilon:1.0, global step:3794, avg_qmax:0.0002626574773982967, memory:3794
episode:23, score:25.884657920000002, epsilon:1.0, global step:3927, avg_qmax:0.00034592911316921296, memory:3927
episode:24, score:5.904572160000001, epsilon:1.0, global step:4059, avg_qmax:0.0003705126671940723, memory:4059
episode:25, score:7.658684800000002, epsilon:1.0, global step:4244, avg_qmax:0.0005005058261008959, memory:4244
episode:26, score:30.90968447999999, epsilon:1.0, global step:4469, avg_qmax:0.0002574188732453169, memory:4469
episode:27, score:6.30949504, epsilon:1.0, global step:4603, avg_qmax:0.0002471273196465857, memory:4603
episode:28, score:8.322492800000001, epsilon:1.0, global step:4788, avg_qmax:0.0003273768364837255, memory:4788
episode:29, score:27.794765440000003, epsilon:1.0, global step:4978, avg_qmax:0.0003741406829536381, memory:4978
episode:30, score:5.90125312, epsilon:1.0, global step:5113, avg_qmax:0.0003549363084689335, memory:5113
episode:31, score:7.05461952, epsilon:1.0, global step:5265, avg_qmax:0.00022390394136843832, memory:5265
episode:32, score:6.07882176, epsilon:1.0, global step:5398, avg_qmax:0.0002699986990981935, memory:5398
episode:33, score:7.814679680000003, epsilon:1.0, global step:5567, avg_qmax:0.0002449279619810845, memory:5567
episode:34, score:7.902634240000003, epsilon:1.0, global step:5741, avg_qmax:0.0002414784371519519, memory:5741
